Station_Date,Turbidity_Actual,Pred_Linear Regression,Pred_Random Forest,Pred_Neural Network (MLP)
2/19/2024,5,0,6.987,6.312
2/14/2024,1.8,43.845,9.038,14.054
2/21/2024,5.2,0,6.499,7.959
2/13/2024,5.5,0,4.901,3.435
2/19/2024,6.3,0,6.003,3.039
2/13/2024,3.1,15.29,9.205,12.404
2/11/2024,24.7,0,6.054,3.762
2/20/2024,1.8,0,4.236,4.548
2/20/2024,2.9,0,3.294,2.898
2/20/2024,3.6,0,4.262,2.352
2/14/2024,3.3,0,7.657,9.808
2/19/2024,4.9,0,6.622,3.676
2/11/2024,11.7,61.99,5.29,2.919
2/19/2024,8.8,0,7.118,7.279
2/20/2024,2.2,0,4.124,4.473
2/14/2024,2.5,0,6.24,13.815
5/20/2024,1.9,28.527,7.29,9.247
5/15/2024,5.3,57.726,9.425,15.535
5/22/2024,18.1,0,7.6,6.92
5/14/2024,9.2,0,5.711,1.921
5/20/2024,4.6,5.817,7.391,7.347
5/14/2024,12.5,22.266,9.158,11.275
5/12/2024,15,30.858,7.852,12.349
5/21/2024,10,60.016,5.631,5.645
5/21/2024,19.3,19.855,8.616,17.91
5/15/2024,3.4,0.491,8.111,10.013
5/20/2024,20.8,0,7.384,9.198
5/12/2024,12.2,19.517,7.213,8.736
5/20/2024,23.4,37.394,7.518,13.903
5/21/2024,19.7,50.119,3.708,2.251
5/15/2024,5.3,0,5.896,7.478
8/14/2024,61.4,17.042,7.147,8.265
8/14/2024,28.8,2.09,7.514,9.666
8/12/2024,133,0,7.546,10.182
8/15/2024,47.7,25.057,7.535,12.27
8/22/2024,16.7,14.089,8.441,12.163
8/14/2024,71,0,7.732,5.854
8/12/2024,134,79.782,8.741,21.904
8/14/2024,74.7,21.781,7.827,10.436
8/22/2024,38.4,0,6.86,5.485
11/18/2024,31.1,0,8.164,7.697
11/13/2024,50.2,50.515,9.027,14.149
11/20/2024,25.3,0,6.76,9.843
11/12/2024,83.2,0,7.591,11.326
11/18/2024,35.5,7.316,7.045,6.824
11/12/2024,55.1,6.921,7.433,8.868
11/10/2024,85.3,1.428,7.084,6.86
11/19/2024,32.6,51.189,3.343,5.036
11/19/2024,62,52.177,3.343,5.734
11/19/2024,27.7,11.49,5.447,2.301
11/13/2024,67.3,70.025,8.32,15.226
11/18/2024,61.7,0,6.96,8.906
11/10/2024,59.7,54.498,7.134,5.968
11/18/2024,83.1,0,7.015,7.532
11/19/2024,21.9,70.093,3.223,5.061
11/13/2024,18.8,0,7.351,7.308
2/10/2025,7.7,0,6.441,5.562
2/6/2025,8.4,21.175,9.038,11.979
2/13/2025,8.3,0,7.367,7.33
2/5/2025,8.5,0,5.576,1.929
2/10/2025,6.3,28.005,5.051,3.099
2/5/2025,7.4,17.527,7.973,8.811
2/3/2025,7.3,15.884,6.024,4.407
2/11/2025,7,0,3.844,3.793
2/11/2025,6.5,0,3.099,2.644
2/11/2025,7.6,0,3.696,2.731
2/6/2025,9,41.182,9.038,14.038
2/10/2025,8.6,0,5.648,6.02
2/3/2025,6.9,19.29,4.585,3.073
2/10/2025,8,0,7.029,6.884
2/11/2025,8,0,3.294,3.563
2/6/2025,7.5,0,7.215,11.149
