Date,Turbidity_Actual,Pred_Linear Regression,Pred_Random Forest,Pred_Neural Network (MLP)
2/11/2025,7.6,0,5.836,7.563
2/10/2025,8.6,0,8.593,8.463
5/20/2024,20.8,2.935,12.907,20.991
2/20/2024,1.8,0,9.232,1.574
2/11/2025,7,0,6.218,6.742
11/12/2024,55.1,13.926,21.321,54.692
2/20/2024,2.2,0,9.479,0.864
5/15/2024,5.3,0,7.611,3.485
2/13/2025,8.3,4.155,8.24,10.288
2/21/2024,5.2,1.991,8.422,7.189
2/6/2025,7.5,19.941,20.18,5.304
2/14/2024,2.5,17.799,22.734,0
11/18/2024,35.5,0,9.55,38.011
2/20/2024,2.9,0,6.81,0
11/13/2024,18.8,11.042,9.064,14.774
11/18/2024,31.1,0.6,10.775,26.947
8/22/2024,38.4,0,12.328,33.548
8/14/2024,61.4,0,17.039,56.494
2/13/2024,5.5,4.342,6.211,10.76
2/11/2025,6.5,0,7.49,0.966
2/3/2025,6.9,0,7.85,0.723
2/11/2024,11.7,0,10.133,4.871
5/14/2024,9.2,0,6.931,16.091
2/11/2025,8,0,9.541,0
2/20/2024,3.6,0,5.527,12.92
2/5/2025,8.5,0,7.15,19.322
11/19/2024,27.7,0,8.123,16.161
2/10/2025,7.7,0,8.302,19.662
2/11/2024,24.7,0,11.646,38.053
11/12/2024,83.2,14.198,23.665,97.025
2/19/2024,4.9,0,7.503,18.942
5/22/2024,18.1,0,11.519,33.879
2/14/2024,3.3,13.97,19.625,19.238
2/10/2025,6.3,0,10.752,23.927
5/21/2024,19.7,0,6.6,1.524
8/12/2024,134,0,22.619,114.377
5/14/2024,12.5,10.039,20.841,34.044
11/20/2024,25.3,9.822,9.319,3.684
11/19/2024,21.9,0,7.759,0
2/3/2025,7.3,0,13.746,30.214
2/19/2024,5,0,9.658,28.049
2/5/2025,7.4,5.507,24.999,30.755
2/13/2024,3.1,18.723,28.52,27.099
2/10/2025,8,1.841,19.763,37.346
11/18/2024,83.1,0,16.901,53.366
2/19/2024,6.3,0,12.238,36.298
8/14/2024,74.7,0,17.855,105.874
8/14/2024,71,0,21.241,39.657
11/19/2024,32.6,0,7.935,0.863
11/13/2024,50.2,6.104,27.684,82.944
11/10/2024,59.7,0,11.512,24.613
5/21/2024,10,0,13.048,46.384
2/19/2024,8.8,0,20.153,47.231
11/10/2024,85.3,0,10.889,46.549
2/6/2025,8.4,10.674,30.122,48.686
11/13/2024,67.3,14.458,21.613,111.522
8/12/2024,133,0,24.768,87.397
5/15/2024,3.4,0,21.451,53.673
