Date,Turbidity_Actual,Calibrated_Pred_Linear Regression,Calibrated_Pred_Random Forest,Calibrated_Pred_Neural Network (MLP)
11/10/2024,85.3,20.81,22.062,29.486
11/10/2024,59.7,9.088,22.253,22.453
2/11/2024,24.7,22.411,20.28,26.939
2/11/2024,11.7,6.055,19.547,17.513
5/12/2024,15,29.095,27.396,37.528
5/12/2024,12.2,22.765,23.135,20.277
8/12/2024,133,26.792,28.251,50.88
8/12/2024,134,34.692,34.546,46.407
11/12/2024,83.2,39.581,26.479,70.958
11/12/2024,55.1,34.667,31.151,23.787
11/13/2024,50.2,37.605,31.714,28.087
11/13/2024,67.3,42.578,41.388,40.553
11/13/2024,18.8,29.427,20.736,18.136
11/18/2024,31.1,26.392,22.858,14.253
11/18/2024,35.5,18.747,22.492,28.975
11/18/2024,61.7,26.013,26.335,18.839
11/18/2024,83.1,30.849,21.135,22.732
11/19/2024,32.6,12.966,23.473,18.578
11/19/2024,62,13.768,26.894,22.699
11/19/2024,27.7,18.435,20.062,15.597
11/19/2024,21.9,13.272,24.731,19.877
11/20/2024,25.3,25.268,25.491,24.996
2/13/2024,5.5,26.633,18.888,17.127
2/13/2024,3.1,33.12,34.702,17.357
2/14/2024,1.8,38.81,40.046,27.722
2/14/2024,3.3,30.281,33.449,17.496
2/14/2024,2.5,26.063,39.88,23.861
2/19/2024,5,23.437,20.562,14.042
2/19/2024,6.3,20.015,19.931,25.467
2/19/2024,4.9,24.231,20.193,19.787
2/19/2024,8.8,29.397,20.575,22.066
2/20/2024,1.8,20.631,21.322,18.171
2/20/2024,2.9,21.652,22.023,16.702
2/20/2024,3.6,23.585,18.87,17.437
2/20/2024,2.2,22.439,21.572,19.537
2/21/2024,5.2,22.405,23.893,24.259
5/14/2024,9.2,22.153,16.438,13.472
5/14/2024,12.5,30.874,25.734,15.253
5/15/2024,5.3,36.004,37.519,26.727
5/15/2024,3.4,24.949,20.382,18.768
5/15/2024,5.3,19.167,23.872,25.721
5/20/2024,1.9,26.5,20.798,16.857
5/20/2024,4.6,27.807,23.013,47.359
5/20/2024,20.8,25.2,34.731,17.039
5/20/2024,23.4,32.071,31.845,36.819
5/21/2024,10,9.176,21.046,22.633
5/21/2024,19.3,25.835,32.892,41.036
5/21/2024,19.7,10.818,22.685,13.736
5/22/2024,18.1,22.827,19.873,15.805
8/14/2024,61.4,27.867,21.036,17.983
8/14/2024,28.8,23.998,23.935,44.641
8/14/2024,71,23.424,26.543,21.66
8/14/2024,74.7,33.96,27.324,47.352
8/15/2024,47.7,24.089,29.46,77.87
8/22/2024,16.7,32.225,26.874,28.656
8/22/2024,38.4,26.264,19.937,15.097
2/3/2025,7.3,18.213,20.778,25.192
2/3/2025,6.9,12.38,20.234,26.862
2/6/2025,8.4,34.854,32.036,21.21
2/6/2025,9,42.791,38.795,31.58
2/6/2025,7.5,31.155,30.118,19.8
2/13/2025,8.3,25.048,21.113,21.546
2/11/2025,6.5,20.815,23.192,18.815
2/11/2025,7,20.578,22.299,19.689
2/11/2025,8,21.97,21.986,19.408
2/11/2025,7.6,23.033,19.745,17.003
2/10/2025,8,30.133,20.591,19.269
2/10/2025,8.6,22.314,23.69,25.347
2/10/2025,7.7,23.77,20.061,18.101
2/10/2025,6.3,16.402,20.222,20.048
2/5/2025,8.5,23.095,18.692,20.47
2/5/2025,7.4,27.466,25.398,13.796
