station_la,station_lo,Date,Turbidity_,Source_Year
20.346723,100.085873,13-16 May  2025,98.6,2025
20.346723,100.085873,9-12 Dec 2025,77.0,2025
20.2781699,100.0886618,13-16 May  2025,124.0,2025
20.2781699,100.0886618,1-4 Sep  2025,145.0,2025
20.2781699,100.0886618,9-12 Dec 2025,77.4,2025
20.2558231,100.1787482,9-12 Dec 2025,52.2,2025
20.168902,100.574694,3/7/2024,9.97,2024
20.276106,100.088551,3/7/2024,5.61,2024
20.168902,100.574694,4/30/2024,15.6,2024
20.276106,100.088551,4/30/2024,7.17,2024
20.168902,100.574694,11/25/2024,84.0,2024
20.276106,100.088551,11/25/2024,119.0,2024
20.168902,100.574694,3/6/2025,18.3,2024
20.276106,100.088551,3/6/2025,18.0,2024
