River,Amount,Station (New),Location,Lat,Long,Year,Month,Date,Time,Depth(m),Temp(a),Temp(w),pH,tur(NTU),Cond(µS),Sal(ppt),SS(mg/l),TS(mg/l),TDS(mg/l),Cd(mg/L),Cr6+(mg/L),Mn(mg/L),Ni(mg/L),Pb(mg/L),Zn(mg/L),Cu(mg/L),Hg(mg/L),As(mg/L),Cr(mg/L),"Cyanide
(mg/L)"
Fang,1//68,FA01,"Malika, Mae Ai, Chiang Mai",20.0209934,99.3538415,2025,Mar,Mar,,,,,8.06,11.6,218,,15,143,128,<0.001,,0.2,<0.01,<0.01,<0.10,<0.01,<0.002,<0.01,<0.01,
Fang,2//68,FA01,"Malika, Mae Ai, Chiang Mai",20.0209934,99.3538415,2025,Apr,Apr,,,,,7.76,5.08,234,,<10,268,258,<0.001,,<0.100,<0.010,<0.010,<0.100,<0.010,<0.002,<0.010,<0.010,
Fang,3//68,FA01,"Malika, Mae Ai, Chiang Mai",20.0209934,99.3538415,2025,May,13-16 May  2025,14:00,1.5,32,30.5,7.81,98.9,178.6,0,,,,<0.001,,0.14,<0.010,<0.010,<0.10,<0.010,<0.0005,<0.010,<0.010,
Fang,4//68,FA01,"Malika, Mae Ai, Chiang Mai",20.0209934,99.3538415,2025,May,27-30 May  2025,12:05,1.5,29,27.1,7.79,96.6,197.8,0,,,,<0.001,,0.17,<0.010,<0.010,<0.10,<0.010,<0.0005,<0.010,<0.010,
Fang,5//68,FA01,"Malika, Mae Ai, Chiang Mai",20.0209934,99.3538415,2025,Jun,9-13 Jun  2025,14:05,1,28,29.4,7.96,39.5,239,0,,,,<0.001,,0.13,<0.010,<0.010,<0.10,<0.010,<0.0005,<0.010,<0.010,
Fang,6//68,FA01,"Malika, Mae Ai, Chiang Mai",20.0209934,99.3538415,2025,Jun,23-27 Jun  2025,15:00,1,28,29.5,7.69,120,180.8,0,,,,<0.001,,0.18,<0.010,<0.010,<0.10,<0.010,<0.0005,0.01,<0.010,
Fang,7//68,FA01,"Malika, Mae Ai, Chiang Mai",20.0209934,99.3538415,2025,Jul,30 Jun-4 Jul  2025,16:03,3,33,29.5,7.71,97.5,193.8,0,,,,<0.001,,0.15,<0.010,<0.010,<0.10,<0.010,<0.0005,<0.010,<0.010,
Fang,8//68,FA01,"Malika, Mae Ai, Chiang Mai",20.0209934,99.3538415,2025,Jul,21-25 Jul  2025,14:00,3.5,31,26.3,7.4,294,123.9,0,,,,<0.001,,0.2,<0.010,<0.010,<0.10,<0.010,<0.0005,<0.010,0.011,
Fang,9//68,FA01,"Malika, Mae Ai, Chiang Mai",20.0209934,99.3538415,2025,Aug,4-8 Aug  2025,14:01,3,30,27.9,6.75,86.2,187.5,0,,,,<0.001,,0.19,<0.010,<0.010,<0.10,<0.010,<0.0005,<0.010,<0.010,
Fang,10//68,FA01,"Malika, Mae Ai, Chiang Mai",20.0209934,99.3538415,2025,Aug,18-22 Aug  2025,15:05,3.5,35,28.4,7.62,135,161.8,0,,,,<0.001,,0.16,<0.010,<0.010,<0.10,<0.010,<0.0005,<0.010,<0.010,
Fang,11//68,FA01,"Malika, Mae Ai, Chiang Mai",20.0209934,99.3538415,2025,Sep,1-4 Sep  2025,12:35,3.5,31,27.1,7.26,137,151.6,0,,,,<0.001,,0.18,<0.010,<0.010,<0.10,<0.010,<0.0005,0.012,<0.010,
Fang,12//68,FA01,"Malika, Mae Ai, Chiang Mai",20.0209934,99.3538415,2025,Sep,22-26 Sep  2025,14:04,1.5,29,27.3,6.94,63.1,167.2,0,,,,<0.001,,0.14,<0.010,<0.010,<0.10,<0.010,<0.0005,<0.010,<0.010,
Fang,13//68,FA01,"Malika, Mae Ai, Chiang Mai",20.0209934,99.3538415,2025,Nov,4-7 Nov 2025,14:35,2,26,24,7.76,171,171.4,0,,,,<0.001,,0.17,<0.010,<0.010,<0.10,<0.010,<0.0005,<0.010,<0.010,
Fang,14//68,FA01,"Malika, Mae Ai, Chiang Mai",20.0209934,99.3538415,2025,Dec,9-12 Dec 2025,15:02,1.5,28,24.5,7.91,50.8,207,0,,,,<0.001,,<0.10,<0.010,<0.010,<0.10,<0.010,<0.0005,<0.010,<0.010,
Fang,1//68,FA02,"Saphan KOR.POR.50 Bridge, Ban Mai Rim Fang, Wiang Fang, Fang, Chiang Mai",,,2025,Mar,Mar,,,,,7.87,15.5,253,,20,180,160,<0.001,,0.19,<0.01,<0.01,<0.10,<0.01,<0.002,<0.01,<0.01,
Fang,2//68,FA02,"Saphan KOR.POR.50 Bridge, Ban Mai Rim Fang, Wiang Fang, Fang, Chiang Mai",,,2025,Apr,Apr,,,,,7.95,13.4,296,,20,288,268,<0.001,,0.15,<0.010,<0.010,<0.100,<0.010,<0.002,<0.010,<0.010,
Fang,1//68,FA03,"Moo. 3, Ban Si Dong Yen, Si Dong Yen, Chai Prakan, Chiang Mai",,,2025,Mar,Mar,,,,,8.23,7.82,435,,12,304,292,<0.001,,<0.10,<0.01,<0.01,<0.10,<0.01,<0.002,<0.01,<0.01,
Fang,2//68,FA03,"Moo. 3, Ban Si Dong Yen, Si Dong Yen, Chai Prakan, Chiang Mai",,,2025,Apr,Apr,,,,,8.23,16.6,432,,22,200,178,<0.001,,0.14,<0.010,<0.010,<0.100,<0.010,<0.002,<0.010,<0.010,
