OBJECTID,Number,Name,Code,Province,Region,Surface_Wa,Date,Year,Quarter,Time,Salinity_p,Lastest_WQ,Average_WQ,Quality_St,BOD_ppm,COD_ppm,EC_microS_,NH4_N_ppm,pH,Temp_Celsi,Turbidity_,station_la,station_lo
1,34,WCR02,WCR02,Chiang Rai,Northern,Wiang Nong Lom,3/6/2024,2024,Q1,0:17:56,0,50.991786,50.991786,Poor,4.13, ,16.1,0.84,4.8,31.9,821,20.2282445,100.0181677
2,52,WCR06,WCR06,Chiang Rai,Northern,Wiang Nong Lom,3/5/2024,2024,Q1,0:17:56,0,60.285616,60.285616,Poor,3.53, ,50.3,1.57,5,31.6,1030,20.2081722,99.9970416
3,152,WCR01,WCR01,Chiang Rai,Northern,Wiang Nong Lom,3/6/2024,2024,Q1,0:17:56,0,53.216104,53.216104,Poor,4.82, ,27.5,0.31,4.8,27.2,2289,20.2304727,100.0237946
4,209,WCR03,WCR03,Chiang Rai,Northern,Wiang Nong Lom,3/5/2024,2024,Q1,0:17:56,0,58.20204,58.20204,Poor,3.3, ,101,0.25,4.5,35.3,1354,20.2050506,99.9853971
5,300,NK09,NK09,Chiang Rai,Northern,Mekong River,3/7/2024,2024,Q1,0:17:56,0.1,73.238008,73.238008,Good,0.13, ,366,1.01,6,22.1,9.97,20.168902,100.574694
6,334,KK03,KK03,Chiang Rai,Northern,Mae Kok River,2/14/2024,2024,Q1,0:17:56,0,72.607784,72.607784,Good,0.12, ,133.1,0.98,7,24.5,18,19.9248025,99.8626451
7,344,WCR05,WCR05,Chiang Rai,Northern,Wiang Nong Lom,3/6/2024,2024,Q1,0:17:56,0,53.453284,53.453284,Poor,4.03, ,51.6,1.23,5,31.2,541,20.2150551,100.0055579
8,399,KK02,KK02,Chiang Rai,Northern,Mae Kok River,2/14/2024,2024,Q1,0:17:56,0,92.99826,92.99826,High,0.18, ,139.1,0.2,6,26.5,38.6,20.12713042,100.0304967
9,453,WCR04,WCR04,Chiang Rai,Northern,Wiang Nong Lom,3/5/2024,2024,Q1,0:17:56,0,39.7226008,39.7226008,Poor,5.22, ,130,6.89,5,32.5,3052,20.1951145,99.9781407
10,468,KK04,KK04,Chiang Rai,Northern,Mae Kok River,2/14/2024,2024,Q1,0:17:56,0,93.66024,93.66024,High,0.2, ,132.4,0.08,7,23.4,17.7,19.9585059,99.6991227
11,498,EI02,EI02,Chiang Rai,Northern,Ing River,2/15/2024,2024,Q1,0:17:56,0,71.29618,71.29618,Good,0.38, ,151.1,0.51,6,24.1,15.2,19.833156,100.200814
12,504,KK01,KK01,Chiang Rai,Northern,Mae Kok River,2/14/2024,2024,Q1,0:17:56,0,74.648092,74.648092,Good,0.2, ,139.7,0.64,5.5,26.3,48.2,20.227738,100.128886
13,573,EI01,EI01,Chiang Rai,Northern,Ing River,2/15/2024,2024,Q1,0:17:56,0,91.56826,91.56826,High,0.28, ,129.8,0.11,5,23,6.94,20.137299,100.420057
14,579,NK10,NK10,Chiang Rai,Northern,Mekong River,3/7/2024,2024,Q1,0:17:56,0.1,66.897976,66.897976,Moderate,0.1, ,331,1.02,6,24.4,5.61,20.276106,100.088551
15,34,WCR02,WCR02,Chiang Rai,Northern,Wiang Nong Lom,5/1/2024,2024,Q2,0:17:56,0,55.368,55.368,Poor,3.94, ,20.7,0.5,4,33.2,3337,20.2282445,100.0181677
16,52,WCR06,WCR06,Chiang Rai,Northern,Wiang Nong Lom,5/2/2024,2024,Q2,0:17:56,0,58.35372,58.35372,Poor,3.1, ,59.8,0.5,4,29,2832,20.2081722,99.9970416
17,152,WCR01,WCR01,Chiang Rai,Northern,Wiang Nong Lom,5/1/2024,2024,Q2,0:17:56,0, , ,No Data,0, ,0,0,0,0,0,20.2304727,100.0237946
18,209,WCR03,WCR03,Chiang Rai,Northern,Wiang Nong Lom,5/2/2024,2024,Q2,0:17:56,0, , ,No Data,0, ,0,0,0,0,0,20.2050506,99.9853971
19,300,NK09,NK09,Chiang Rai,Northern,Mekong River,4/30/2024,2024,Q2,0:17:56,0.1,92.31276,92.31276,High,1.12, ,363,0.08,6,27.1,15.6,20.168902,100.574694
20,334,KK03,KK03,Chiang Rai,Northern,Mae Kok River,5/6/2024,2024,Q2,0:17:56,0,68.966144,68.966144,Moderate,0.82, ,148,0.42,6,31.1,15.1,19.9248025,99.8626451
21,344,WCR05,WCR05,Chiang Rai,Northern,Wiang Nong Lom,5/1/2024,2024,Q2,0:17:56,0,66.26564,66.26564,Moderate,2.42, ,53.8,0.45,4.5,30,1432,20.2150551,100.0055579
22,399,KK02,KK02,Chiang Rai,Northern,Mae Kok River,5/6/2024,2024,Q2,0:17:56,0,85.0543,85.0543,Good,1.04, ,148.5,0.2,6,32.2,41.5,20.12713042,100.0304967
23,453,WCR04,WCR04,Chiang Rai,Northern,Wiang Nong Lom,5/2/2024,2024,Q2,0:17:56,0, , ,No Data,0, ,0,0,0,0,0,20.1951145,99.9781407
24,468,KK04,KK04,Chiang Rai,Northern,Mae Kok River,5/6/2024,2024,Q2,0:17:56,0,72.737656,72.737656,Good,1.67, ,148.7,0.28,7,30.3,14.2,19.9585059,99.6991227
25,498,EI02,EI02,Chiang Rai,Northern,Ing River,5/7/2024,2024,Q2,0:17:56,0,56.350696,56.350696,Poor,1.72, ,105.4,0.62,5,29.9,33.3,19.833156,100.200814
26,504,KK01,KK01,Chiang Rai,Northern,Mae Kok River,5/6/2024,2024,Q2,0:17:56,0,92.93672,92.93672,High,0.76, ,148.7,0.06,6,31.9,48,20.227738,100.128886
27,573,EI01,EI01,Chiang Rai,Northern,Ing River,5/7/2024,2024,Q2,0:17:56,0,56.839152,56.839152,Poor,1.54, ,166.7,0.31,5,27.4,45.8,20.137299,100.420057
28,579,NK10,NK10,Chiang Rai,Northern,Mekong River,4/30/2024,2024,Q2,0:17:56,0.1,91.35556,91.35556,High,0.91, ,359,0.11,6,26.7,7.17,20.276106,100.088551
29,34,WCR02,WCR02,Chiang Rai,Northern,Wiang Nong Lom,7/17/2024,2024,Q3,0:17:56,0,52.341132,52.341132,Poor,4.02, ,44.5,0.31,6.43,36.4,549,20.2282445,100.0181677
30,52,WCR06,WCR06,Chiang Rai,Northern,Wiang Nong Lom,7/17/2024,2024,Q3,0:17:56,0,70.81618,70.81618,Good,0.61, ,42.8,0.06,5.97,35.4,603,20.2081722,99.9970416
31,152,WCR01,WCR01,Chiang Rai,Northern,Wiang Nong Lom,7/17/2024,2024,Q3,0:17:56,0,39.371662,39.371662,Poor,5.366, ,40.5,0.17,6.21,32.7,798,20.2304727,100.0237946
32,209,WCR03,WCR03,Chiang Rai,Northern,Wiang Nong Lom,7/17/2024,2024,Q3,0:17:56,0,46.320704,46.320704,Poor,7.26, ,80.6,0.62,6.35,36.2,2302,20.2050506,99.9853971
33,300,NK09,NK09,Chiang Rai,Northern,Mekong River,7/18/2024,2024,Q3,0:17:56,0.1,85.3315,85.3315,Good,0.78, ,321,0.08,8.53,26.3,536,20.168902,100.574694
34,334,KK03,KK03,Chiang Rai,Northern,Mae Kok River,7/25/2024,2024,Q3,0:17:56,0,74.2726,74.2726,Good,0.48, ,126.7,0.11,8.11,28,186,19.9248025,99.8626451
35,344,WCR05,WCR05,Chiang Rai,Northern,Wiang Nong Lom,7/17/2024,2024,Q3,0:17:56,0,62.882024,62.882024,Moderate,0.76, ,60,0.53,7.21,36.8,979,20.2150551,100.0055579
36,399,KK02,KK02,Chiang Rai,Northern,Mae Kok River,7/24/2024,2024,Q3,0:17:56,0,91.86812,91.86812,High,0.33, ,129.7,0.08,7.93,28.7,151,20.12713042,100.0304967
37,453,WCR04,WCR04,Chiang Rai,Northern,Wiang Nong Lom,7/17/2024,2024,Q3,0:17:56,0.1,57.27828,57.27828,Poor,3.8, ,150,1.15,7.15,37.2,983,20.1951145,99.9781407
38,468,KK04,KK04,Chiang Rai,Northern,Mae Kok River,7/25/2024,2024,Q3,0:17:56,0,64.47856,64.47856,Moderate,0.22, ,141.1,0.03,8.2,27.6,223,19.9585059,99.6991227
39,498,EI02,EI02,Chiang Rai,Northern,Ing River,7/23/2024,2024,Q3,0:17:56,0,66.3726,66.3726,Moderate,0.62, ,104.9,0.11,7.6,28.6,117,19.833156,100.200814
40,504,KK01,KK01,Chiang Rai,Northern,Mae Kok River,7/24/2024,2024,Q3,0:17:56,0,93.97898,93.97898,High,0.28, ,128.8,0.03,7.84,29.7,131,20.227738,100.128886
41,573,EI01,EI01,Chiang Rai,Northern,Ing River,7/24/2024,2024,Q3,0:17:56,0,62.43668,62.43668,Moderate,0.6, ,121.4,0.14,7.86,30.3,142,20.137299,100.420057
42,579,NK10,NK10,Chiang Rai,Northern,Mekong River,7/18/2024,2024,Q3,0:17:56,0.1,83.93446,83.93446,Good,1.26, ,327,0.07,8.16,29.6,534,20.276106,100.088551
43,34,WCR02,WCR02,Chiang Rai,Northern,Wiang Nong Lom,12/5/2024,2024,Q4,0:17:56,0,74,74,Good,1.54, ,39.2,0.11,6.71,29.2,28.3,20.2282445,100.0181677
44,52,WCR06,WCR06,Chiang Rai,Northern,Wiang Nong Lom,12/4/2024,2024,Q4,0:17:56,0,73,73,Good,0.1, ,49.3,0.12,6.98,28.6,874,20.2081722,99.9970416
45,152,WCR01,WCR01,Chiang Rai,Northern,Wiang Nong Lom,12/5/2024,2024,Q4,0:17:56,0,59,59,Poor,1.06, ,32,0.22,6.54,30.2,452,20.2304727,100.0237946
46,209,WCR03,WCR03,Chiang Rai,Northern,Wiang Nong Lom,12/4/2024,2024,Q4,0:17:56,0,57,57,Poor,1.15, ,73.3,1.04,7.21,30.7,104,20.2050506,99.9853971
47,300,NK09,NK09,Chiang Rai,Northern,Mekong River,11/25/2024,2024,Q4,0:17:56,0.1,67,67,Moderate,0.55, ,262,0.48,8.28,25,84,20.168902,100.574694
48,334,KK03,KK03,Chiang Rai,Northern,Mae Kok River,11/20/2024,2024,Q4,0:17:56,0,70,70,Moderate,0.72, ,127.5,0.11,7.99,23,142,19.9248025,99.8626451
49,344,WCR05,WCR05,Chiang Rai,Northern,Wiang Nong Lom,12/4/2024,2024,Q4,0:17:56,0,60,60,Poor,0.14, ,36.7,0.42,6.96,29.1,785,20.2150551,100.0055579
50,399,KK02,KK02,Chiang Rai,Northern,Mae Kok River,11/20/2024,2024,Q4,0:17:56,0,59,59,Poor,0.55, ,132.5,0.42,7.79,24.2,121,20.12713042,100.0304967
51,453,WCR04,WCR04,Chiang Rai,Northern,Wiang Nong Lom,12/4/2024,2024,Q4,0:17:56,0,57,57,Poor,2.46, ,30.6,0.14,7.28,30.6,485,20.1951145,99.9781407
52,468,KK04,KK04,Chiang Rai,Northern,Mae Kok River,11/20/2024,2024,Q4,0:17:56,0,62,62,Moderate,0.62, ,144,0.08,8.2,22.7,131,19.9585059,99.6991227
53,498,EI02,EI02,Chiang Rai,Northern,Ing River,11/26/2024,2024,Q4,0:17:56,0,70,70,Moderate,0.5, ,140.3,0.14,7.73,26.1,43.5,19.833156,100.200814
54,504,KK01,KK01,Chiang Rai,Northern,Mae Kok River,11/20/2024,2024,Q4,0:17:56,0,56,56,Poor,0.53, ,139.2,0.59,7.8,25.1,143,20.227738,100.128886
55,573,EI01,EI01,Chiang Rai,Northern,Ing River,11/26/2024,2024,Q4,0:17:56,0.1,59,59,Poor,0.5, ,141.7,0.06,7.93,25.1,48.1,20.137299,100.420057
56,579,NK10,NK10,Chiang Rai,Northern,Mekong River,11/25/2024,2024,Q4,0:17:56,0.1,65,65,Moderate,0.49, ,241,0.06,8.18,25.9,119,20.276106,100.088551
57,34,WCR02,WCR02,Chiang Rai,Northern,Wiang Nong Lom,3/5/2025,2025,Q1,0:17:56,0,50.2499,50.2499,Poor,3.3, ,43.7,0.95,6.03,28.6,163,20.2282445,100.0181677
58,52,WCR06,WCR06,Chiang Rai,Northern,Wiang Nong Lom,3/5/2025,2025,Q1,0:17:56,0,61.140968,61.140968,Moderate,2.2, ,55.5,0.81,6.7,24.9,694,20.2081722,99.9970416
59,152,WCR01,WCR01,Chiang Rai,Northern,Wiang Nong Lom,3/5/2025,2025,Q1,0:17:56,0,60.225016,60.225016,Poor,2.74, ,39.7,1.57,6.03,26.7,1219,20.2304727,100.0237946
60,209,WCR03,WCR03,Chiang Rai,Northern,Wiang Nong Lom,N/A,2025,Q1, ,0,N/A,N/A,N/A,0, ,0,0,0,0,0,20.2050506,99.9853971
