OBJECTID,Number,Name,Code,Province,Region,Surface_Wa,Date,Year,Quarter,Time,Salinity_p,Lastest_WQ,Average_WQ,Quality_St,BOD_ppm,COD_ppm,EC_microS_,NH4_N_ppm,pH,Temp_Celsi,Turbidity_,station_la,station_lo
3,48,SO03,SO03,Sakon Nakhon,Northeastern,Songkhram River,2/6/2024,2024,Q1,0:17:56,0.8,90.57576,90.57576,High,1.2, ,1683,0,7.74,30.1,0,17.778496,103.953076
6,90,SO02,SO02,Nakhon Phanom,Northeastern,Songkhram River,2/6/2024,2024,Q1,0:17:56,0.3,80.52648,80.52648,Good,1.2, ,721,0.1,7.95,29.7,0,17.634672,104.244929
7,101,SO05,SO05,Bueng Kan,Northeastern,Songkhram River,2/6/2024,2024,Q1,0:17:56,0.1,91.64876,91.64876,High,1.3, ,350,0,7.71,28.9,0,18.005534,103.472361
8,120,ON01,ON01,Nakhon Phanom,Northeastern,Nam Un River,2/4/2024,2024,Q1,0:17:56,0.1,92.37378,92.37378,High,0.7, ,330,0,7.87,28.4,3.9,17.62317,104.23907
10,245,NK05,NK05,Nakhon Phanom,Northeastern,Mekong River,2/6/2024,2024,Q1,0:17:56,0,71.59524,71.59524,Good,1.2, ,262,0,7.99,28,0,17.352444,104.801084
11,270,SO04,SO04,Bueng Kan,Northeastern,Songkhram River,2/6/2024,2024,Q1,0:17:56,0.9,91.8537,91.8537,High,1.4, ,1837,0,7.91,28.7,0,17.865533,103.774347
12,284,SO01,SO01,Nakhon Phanom,Northeastern,Songkhram River,2/6/2024,2024,Q1,0:17:56,0,88.35378,88.35378,Good,1.3, ,259,0,8.47,28.5,1.5,17.643401,104.461549
18,580,NK06,NK06,Bueng Kan,Northeastern,Mekong River,2/14/2024,2024,Q1,0:17:56,0,82.30982,82.30982,Good,1.3, ,283,0.1,8.34,26.9,0,18.339121,103.701735
21,48,SO03,SO03,Sakon Nakhon,Northeastern,Songkhram River,5/29/2024,2024,Q2,0:17:56,0.5,58.62644,58.62644,Poor,1.3, ,1042,0.1,7.44,35.2,22.3,17.778496,103.953076
24,90,SO02,SO02,Nakhon Phanom,Northeastern,Songkhram River,5/29/2024,2024,Q2,0:17:56,0.1,62.49994,62.49994,Moderate,0.8, ,459,0,7.66,33.4,459,17.634672,104.244929
25,101,SO05,SO05,Bueng Kan,Northeastern,Songkhram River,5/29/2024,2024,Q2,0:17:56,0.1,91.589,91.589,High,1, ,360,0.1,7.93,35.4,0,18.005534,103.472361
26,120,ON01,ON01,Nakhon Phanom,Northeastern,Nam Un River,5/26/2024,2024,Q2,0:17:56,0,84.63436,84.63436,Good,1.4, ,279,0.1,7.74,30.7,6.1,17.62317,104.23907
28,245,NK05,NK05,Nakhon Phanom,Northeastern,Mekong River,5/29/2024,2024,Q2,0:17:56,0,61.0455,61.0455,Moderate,0.5, ,270,0.1,8.02,31.7,402,17.352444,104.801084
29,270,SO04,SO04,Bueng Kan,Northeastern,Songkhram River,5/29/2024,2024,Q2,0:17:56,1.3,78.47224,78.47224,Good,1.3, ,2490,0.1,8.19,34.8,0,17.865533,103.774347
30,284,SO01,SO01,Nakhon Phanom,Northeastern,Songkhram River,5/29/2024,2024,Q2,0:17:56,0,66.58632,66.58632,Moderate,0.5, ,272,0,7.97,31.7,272,17.643401,104.461549
36,580,NK06,NK06,Bueng Kan,Northeastern,Mekong River,6/3/2024,2024,Q2,0:17:56,0,66.54164,66.54164,Moderate,1.8, ,276,0.1,7.54,30.1,36.5,18.339121,103.701735
39,48,SO03,SO03,Sakon Nakhon,Northeastern,Songkhram River,8/21/2024,2024,Q3,0:17:56,0,80.57098,80.57098,Good,1.3, ,106.5,0,8.17,30,0,17.778496,103.953076
42,90,SO02,SO02,Nakhon Phanom,Northeastern,Songkhram River,8/21/2024,2024,Q3,0:17:56,0,80.15764,80.15764,Good,1.2, ,98.3,0,8.31,30.5,0,17.634672,104.244929
43,101,SO05,SO05,Bueng Kan,Northeastern,Songkhram River,8/21/2024,2024,Q3,0:17:56,0,85.40926,85.40926,Good,1.5, ,154.2,0,8.18,30,7.2,18.005534,103.472361
44,120,ON01,ON01,Nakhon Phanom,Northeastern,Nam Un River,8/19/2024,2024,Q3,0:17:56,0,84.28314,84.28314,Good,1.1, ,99.4,0.1,7.6,29.2,7.1,17.62317,104.23907
46,245,NK05,NK05,Nakhon Phanom,Northeastern,Mekong River,8/21/2024,2024,Q3,0:17:56,0,64.46798,64.46798,Moderate,1.3, ,172.9,0,7.72,29.5,370,17.352444,104.801084
47,270,SO04,SO04,Bueng Kan,Northeastern,Songkhram River,8/21/2024,2024,Q3,0:17:56,0,85.01206,85.01206,Good,1.5, ,115.1,0,8.25,29.9,0,17.865533,103.774347
48,284,SO01,SO01,Nakhon Phanom,Northeastern,Songkhram River,8/21/2024,2024,Q3,0:17:56,0,81.52984,81.52984,Good,1.3, ,89.3,0,8.26,30.8,0,17.643401,104.461549
54,580,NK06,NK06,Bueng Kan,Northeastern,Mekong River,8/25/2024,2024,Q3,0:17:56,0,66.35914,66.35914,Moderate,1.1, ,177.1,0.1,7.66,27.4,575,18.339121,103.701735
57,48,SO03,SO03,Sakon Nakhon,Northeastern,Songkhram River,11/19/2024,2024,Q4,0:17:56,0.2,91,91,High,1, ,447,0,7.17,29.4,0,17.778496,103.953076
60,90,SO02,SO02,Nakhon Phanom,Northeastern,Songkhram River,11/19/2024,2024,Q4,0:17:56,0,91,91,High,0.4, ,247,0,7.13,29.6,0,17.634672,104.244929
61,101,SO05,SO05,Bueng Kan,Northeastern,Songkhram River,11/19/2024,2024,Q4,0:17:56,0,85,85,Good,1.2, ,173.4,0.1,7.35,28.3,11,18.005534,103.472361
62,120,ON01,ON01,Nakhon Phanom,Northeastern,Nam Un River,11/17/2024,2024,Q4,0:17:56,0,90,90,Good,0.7, ,190.4,0,7.15,29.8,7,17.62317,104.23907
64,245,NK05,NK05,Nakhon Phanom,Northeastern,Mekong River,11/19/2024,2024,Q4,0:17:56,0,82,82,Good,1.2, ,235,0.1,8.19,27.8,8.19,17.352444,104.801084
65,270,SO04,SO04,Bueng Kan,Northeastern,Songkhram River,11/19/2024,2024,Q4,0:17:56,0.2,87,87,Good,1.1, ,576,0.1,7.45,30,0,17.865533,103.774347
66,284,SO01,SO01,Nakhon Phanom,Northeastern,Songkhram River,11/19/2024,2024,Q4,0:17:56,0,89,89,Good,1.1, ,160.8,0,7.65,29.2,0,17.643401,104.461549
72,580,NK06,NK06,Bueng Kan,Northeastern,Mekong River,11/20/2024,2024,Q4,0:17:56,0,91,91,High,1, ,245,0.1,8.23,26.1,8.23,18.339121,103.701735
