OBJECTID,Number,Name,Code,Province,Region,Surface_Wa,Date,Year,Quarter,Time,Salinity_p,Lastest_WQ,Average_WQ,Quality_St,BOD_ppm,COD_ppm,EC_microS_,NH4_N_ppm,pH,Temp_Celsi,Turbidity_,station_la,station_lo
1,9,MU07,MU07,Ubon Ratchathani,Northeastern,Mun River,2/19/2024,2024,Q1,0:17:56,0.1,74.63568,74.63568,Good,0.7, ,317,0.25,8,33.7,5,15.206093,104.813639
2,41,LD1,LD1,Ubon Ratchathani,Northeastern,Lam Dom Yai,2/14/2024,2024,Q1,0:17:56,0,59.821228,59.821228,Poor,2.4, ,81.8,0.39,6.3,29.7,1.8,15.233948,105.160896
3,51,LSB1,LSB1,Ubon Ratchathani,Northeastern,Lam Sae Bai,2/21/2024,2024,Q1,0:17:56,0.1,68.082576,68.082576,Moderate,0.9, ,428,0.33,7.7,31.6,5.2,15.32769,104.681849
4,202,NK01,NK01,Ubon Ratchathani,Northeastern,Mekong River,2/13/2024,2024,Q1,0:17:56,0.1,64.879176,64.879176,Moderate,2.1, ,467,0.33,7.5,28,5.5,15.320425,105.557412
5,226,MU08,MU08,Ubon Ratchathani,Northeastern,Mun River,2/19/2024,2024,Q1,0:17:56,0.1,69.42466,69.42466,Moderate,1.9, ,326,0.3,7.8,34.2,6.3,15.182123,104.714926
6,236,NK02,NK02,Ubon Ratchathani,Northeastern,Mekong River,2/13/2024,2024,Q1,0:17:56,0.1,74.9107,74.9107,Good,0.6, ,450,0.3,7.9,27.9,3.1,16.036174,105.290887
7,269,CI01,CI01,Ubon Ratchathani,Northeastern,Lam Chiang Krai,2/11/2024,2024,Q1,0:17:56,0.1,69.234336,69.234336,Moderate,1.5, ,316,0.28,7.6,28.3,24.7,15.18436,104.715052
8,285,MU02,MU02,Ubon Ratchathani,Northeastern,Mun River,2/20/2024,2024,Q1,0:17:56,0,73.661576,73.661576,Good,0.9, ,214,0.28,7.6,31,1.8,15.288511,105.467409
9,339,MU01,MU01,Ubon Ratchathani,Northeastern,Mun River,2/20/2024,2024,Q1,0:17:56,0,74.9875,74.9875,Good,0.8, ,252,0.25,8,31.5,2.9,15.314934,105.503058
10,358,MU04,MU04,Ubon Ratchathani,Northeastern,Mun River,2/20/2024,2024,Q1,0:17:56,0,73.861848,73.861848,Good,0.6, ,297,0.39,8.3,33.2,3.6,15.249888,105.239367
