OBJECTID,Number,Name,Code,Province,Region,Surface_Wa,Date,Year,Quarter,Time,Salinity_p,Lastest_WQ,Average_WQ,Quality_St,BOD_ppm,COD_ppm,EC_microS_,NH4_N_ppm,pH,Temp_Celsi,Turbidity_,station_la,station_lo
1,9,MU07,MU07,Ubon Ratchathani,Northeastern,Mun River,2/10/2025,2025,Q1,0:17:56,0.1,80.59858,80.59858,Good,0.2, ,396,0.22,8.3,30.2,7.7,15.206093,104.813639
2,41,LD1,LD1,Ubon Ratchathani,Northeastern,Lam Dom Yai,2/6/2025,2025,Q1,0:17:56,0.1,75.88264,75.88264,Good,0.6, ,425,0.25,8,28.7,8.4,15.233948,105.160896
3,51,LSB1,LSB1,Ubon Ratchathani,Northeastern,Lam Sae Bai,2/13/2025,2025,Q1,0:17:56,0,74.41334,74.41334,Good,0.9, ,226,0.25,7.8,28.6,8.3,15.32769,104.681849
4,202,NK01,NK01,Ubon Ratchathani,Northeastern,Mekong River,2/5/2025,2025,Q1,0:17:56,0.1,71.0068,71.0068,Good,1.6, ,364,0.19,8.7,28,8.5,15.320425,105.557412
5,226,MU08,MU08,Ubon Ratchathani,Northeastern,Mun River,2/10/2025,2025,Q1,0:17:56,0.1,69.04262,69.04262,Moderate,1.1, ,465,0.25,7.4,29.6,6.3,15.182123,104.714926
6,236,NK02,NK02,Ubon Ratchathani,Northeastern,Mekong River,2/5/2025,2025,Q1,0:17:56,0.1,85.11408,85.11408,Good,0.8, ,404,0.16,8.4,27.6,7.4,16.036174,105.290887
7,269,CI01,CI01,Ubon Ratchathani,Northeastern,Lam Chiang Krai,2/3/2025,2025,Q1,0:17:56,0.1,84.99702,84.99702,Good,0.2, ,423,0.19,7.6,29.3,7.3,15.18436,104.715052
8,285,MU02,MU02,Ubon Ratchathani,Northeastern,Mun River,2/11/2025,2025,Q1,0:17:56,0,84.80164,84.80164,Good,0.9, ,76,0.22,7.3,29.1,7,15.288511,105.467409
9,339,MU01,MU01,Ubon Ratchathani,Northeastern,Mun River,2/11/2025,2025,Q1,0:17:56,0,71.360976,71.360976,Good,0.7, ,65,0.28,7.1,28.6,6.5,15.314934,105.503058
10,358,MU04,MU04,Ubon Ratchathani,Northeastern,Mun River,2/11/2025,2025,Q1,0:17:56,0.1,64.427416,64.427416,Moderate,1.7, ,371,0.28,8.2,28.4,7.6,15.249888,105.239367
11,369,LD2,LD2,Ubon Ratchathani,Northeastern,Lam Dom Yai,2/6/2025,2025,Q1,0:17:56,0.1,69.53216,69.53216,Moderate,2, ,404,0.16,8.8,28.4,9,14.900369,105.080195
12,425,MU06,MU06,Ubon Ratchathani,Northeastern,Mun River,2/10/2025,2025,Q1,0:17:56,0.1,83.49482,83.49482,Good,0.7, ,414,0.14,8.2,30.4,8.6,15.222686,104.857265
13,456,CI02,CI02,Ubon Ratchathani,Northeastern,Lam Chiang Krai,2/3/2025,2025,Q1,0:17:56,0.1,85.41676,85.41676,Good,0.9, ,431,0.16,7.6,28.5,6.9,15.311707,104.436763
14,496,MU05,MU05,Ubon Ratchathani,Northeastern,Mun River,2/10/2025,2025,Q1,0:17:56,0.1,82.33698,82.33698,Good,1.3, ,483,0.16,8.2,30.2,8,15.243306,104.954793
15,517,MU03,MU03,Ubon Ratchathani,Northeastern,Mun River,2/11/2025,2025,Q1,0:17:56,0,72.07406,72.07406,Good,1.3, ,18,0.25,8.7,29.3,8,15.271514,105.457561
16,546,LD3,LD3,Ubon Ratchathani,Northeastern,Lam Dom Yai,2/6/2025,2025,Q1,0:17:56,0.1,86.851,86.851,Good,0.5, ,370,0.22,8.1,28.6,7.5,14.492911,105.135185
