OBJECTID,Number,Name,Code,Province,Region,Surface_Wa,Date,Turbidity_,Year,Quarter,Time,Salinity_p,Lastest_WQ,Average_WQ,Quality_St,BOD_ppm,COD_ppm,EC_microS_,NH4_N_ppm,pH,Temp_Celsi,station_la,station_lo
9,339,MU01,MU01,Ubon Ratchathani,Northeastern,Mun River,2/20/2024,2.9,2024,Q1,0:17:56,0,74.9875,74.9875,Good,0.8, ,252,0.25,8,31.5,15.314934,105.503058
10,358,MU04,MU04,Ubon Ratchathani,Northeastern,Mun River,2/20/2024,3.6,2024,Q1,0:17:56,0,73.861848,73.861848,Good,0.6, ,297,0.39,8.3,33.2,15.249888,105.239367
1,9,MU07,MU07,Ubon Ratchathani,Northeastern,Mun River,2/19/2024,5,2024,Q1,0:17:56,0.1,74.63568,74.63568,Good,0.7, ,317,0.25,8,33.7,15.206093,104.813639
4,202,NK01,NK01,Ubon Ratchathani,Northeastern,Mekong River,2/13/2024,5.5,2024,Q1,0:17:56,0.1,64.879176,64.879176,Moderate,2.1, ,467,0.33,7.5,28,15.320425,105.557412
9,339,MU01,MU01,Ubon Ratchathani,Northeastern,Mun River,2/11/2025,6.5,2025,Q1,0:17:56,0,71.360976,71.360976,Good,0.7, ,65,0.28,7.1,28.6,15.314934,105.503058
8,285,MU02,MU02,Ubon Ratchathani,Northeastern,Mun River,2/11/2025,7,2025,Q1,0:17:56,0,84.80164,84.80164,Good,0.9, ,76,0.22,7.3,29.1,15.288511,105.467409
6,236,NK02,NK02,Ubon Ratchathani,Northeastern,Mekong River,2/5/2025,7.4,2025,Q1,0:17:56,0.1,85.11408,85.11408,Good,0.8, ,404,0.16,8.4,27.6,16.036174,105.290887
16,546,LD3,LD3,Ubon Ratchathani,Northeastern,Lam Dom Yai,2/6/2025,7.5,2025,Q1,0:17:56,0.1,86.851,86.851,Good,0.5, ,370,0.22,8.1,28.6,14.492911,105.135185
10,358,MU04,MU04,Ubon Ratchathani,Northeastern,Mun River,2/11/2025,7.6,2025,Q1,0:17:56,0.1,64.427416,64.427416,Moderate,1.7, ,371,0.28,8.2,28.4,15.249888,105.239367
1,9,MU07,MU07,Ubon Ratchathani,Northeastern,Mun River,2/10/2025,7.7,2025,Q1,0:17:56,0.1,80.59858,80.59858,Good,0.2, ,396,0.22,8.3,30.2,15.206093,104.813639
14,496,MU05,MU05,Ubon Ratchathani,Northeastern,Mun River,2/10/2025,8,2025,Q1,0:17:56,0.1,82.33698,82.33698,Good,1.3, ,483,0.16,8.2,30.2,15.243306,104.954793
15,517,MU03,MU03,Ubon Ratchathani,Northeastern,Mun River,2/11/2025,8,2025,Q1,0:17:56,0,72.07406,72.07406,Good,1.3, ,18,0.25,8.7,29.3,15.271514,105.457561
3,51,LSB1,LSB1,Ubon Ratchathani,Northeastern,Lam Sae Bai,2/13/2025,8.3,2025,Q1,0:17:56,0,74.41334,74.41334,Good,0.9, ,226,0.25,7.8,28.6,15.32769,104.681849
2,41,LD1,LD1,Ubon Ratchathani,Northeastern,Lam Dom Yai,2/6/2025,8.4,2025,Q1,0:17:56,0.1,75.88264,75.88264,Good,0.6, ,425,0.25,8,28.7,15.233948,105.160896
4,202,NK01,NK01,Ubon Ratchathani,Northeastern,Mekong River,2/5/2025,8.5,2025,Q1,0:17:56,0.1,71.0068,71.0068,Good,1.6, ,364,0.19,8.7,28,15.320425,105.557412
20,202,NK01,NK01,Ubon Ratchathani,Northeastern,Mekong River,5/14/2024,9.2,2024,Q2,0:17:56,0.1,75.02232,75.02232,Good,1.1, ,369,0.25,8.3,33,15.320425,105.557412
24,285,MU02,MU02,Ubon Ratchathani,Northeastern,Mun River,5/21/2024,10,2024,Q2,0:17:56,0,63.37838,63.37838,Moderate,2.5, ,261,0.22,7.9,27.7,15.288511,105.467409
13,456,CI02,CI02,Ubon Ratchathani,Northeastern,Lam Chiang Krai,2/11/2024,11.7,2024,Q1,0:17:56,0,69.55548,69.55548,Moderate,1.3, ,288,0.3,7.6,28.6,15.311707,104.436763
29,456,CI02,CI02,Ubon Ratchathani,Northeastern,Lam Chiang Krai,5/12/2024,12.2,2024,Q2,0:17:56,0,86.71208,86.71208,Good,0.5, ,211,0.16,7,33.9,15.311707,104.436763
22,236,NK02,NK02,Ubon Ratchathani,Northeastern,Mekong River,5/14/2024,12.5,2024,Q2,0:17:56,0.1,82.44488,82.44488,Good,0.6, ,430,0.22,8.6,32.1,16.036174,105.290887
19,51,LSB1,LSB1,Ubon Ratchathani,Northeastern,Lam Sae Bai,5/22/2024,18.1,2024,Q2,0:17:56,0,64.259416,64.259416,Moderate,1.8, ,227,0.28,7.7,29.3,15.32769,104.681849
64,546,LD3,LD3,Ubon Ratchathani,Northeastern,Lam Dom Yai,11/13/2024,18.8,2024,Q4,0:17:56,0,69,69,Moderate,1.8, ,58.5,0.25,7.2,28.6,14.492911,105.135185
31,517,MU03,MU03,Ubon Ratchathani,Northeastern,Mun River,5/21/2024,19.7,2024,Q2,0:17:56,0,63.0891,63.0891,Moderate,2.9, ,264,0.19,7.8,27.3,15.271514,105.457561
28,425,MU06,MU06,Ubon Ratchathani,Northeastern,Mun River,5/20/2024,20.8,2024,Q2,0:17:56,0,80.76136,80.76136,Good,1.5, ,281,0.16,7.9,29.9,15.222686,104.857265
63,517,MU03,MU03,Ubon Ratchathani,Northeastern,Mun River,11/19/2024,21.9,2024,Q4,0:17:56,0,77,77,Good,0.2, ,308,0.31,7.1,29.3,15.271514,105.457561
30,496,MU05,MU05,Ubon Ratchathani,Northeastern,Mun River,5/20/2024,23.4,2024,Q2,0:17:56,0,69.468696,69.468696,Moderate,1.2, ,265,0.28,7.5,29.6,15.243306,104.954793
7,269,CI01,CI01,Ubon Ratchathani,Northeastern,Lam Chiang Krai,2/11/2024,24.7,2024,Q1,0:17:56,0.1,69.234336,69.234336,Moderate,1.5, ,316,0.28,7.6,28.3,15.18436,104.715052
51,51,LSB1,LSB1,Ubon Ratchathani,Northeastern,Lam Sae Bai,11/20/2024,25.3,2024,Q4,0:17:56,0,85,85,Good,0.4, ,140,0.19,7.1,28.6,15.32769,104.681849
58,358,MU04,MU04,Ubon Ratchathani,Northeastern,Mun River,11/19/2024,27.7,2024,Q4,0:17:56,0.1,74,74,Good,0.3, ,338,0.25,6.9,28.4,15.249888,105.239367
53,226,MU08,MU08,Ubon Ratchathani,Northeastern,Mun River,11/18/2024,35.5,2024,Q4,0:17:56,0.2,85,85,Good,0.4, ,421,0.16,7.6,29.6,15.182123,104.714926
59,369,LD2,LD2,Ubon Ratchathani,Northeastern,Lam Dom Yai,11/13/2024,67.3,2024,Q4,0:17:56,0,67,67,Moderate,1.7, ,66.7,0.31,7.6,28.4,14.900369,105.080195
46,496,MU05,MU05,Ubon Ratchathani,Northeastern,Mun River,8/14/2024,74.7,2024,Q3,0:17:56,0,78.6925,78.6925,Good,1.3, ,159,0.19,6.6,30.1,15.243306,104.954793
52,202,NK01,NK01,Ubon Ratchathani,Northeastern,Mekong River,11/12/2024,83.2,2024,Q4,0:17:56,0,63,63,Moderate,3.4, ,298,0.19,7.9,28,15.320425,105.557412
