NDSSI,NTU,B11,B2,B3,B4,B8,NDTI,NDWI
0.357985838,70.958,0.0165,0.0732,0.127599999,0.1726,0.0816,0.149900069,0.219885275
0.150759219,47.352,0.1145,0.1544,0.194600001,0.2122,0.1566,0.043264501,0.108200458
0.059073523,40.553,0.2349,0.152,0.193000004,0.2492,0.2214,0.127091804,-0.068532809
0.490033223,28.975,0.0136,0.0601,0.094999999,0.0897,0.0307,-0.028695175,0.511535397
0.219753086,15.597,0.0453,0.0638,0.097999997,0.0741,0.0474,-0.138872736,0.348005491
-0.099173554,24.996,0.0756,0.055,0.0616,0.0654,0.0798,0.029921263,-0.128712874
0.322245322,26.939,0.015,0.0818,0.113200001,0.0954,0.0489,-0.085330783,0.396668728
0.059035602,36.819,0.2045,0.1976,0.227799997,0.235,0.2088,0.015557483,0.043518087
0.524879615,19.877,0.0104,0.043,0.071800001,0.0475,0.0148,-0.203688188,0.658198618
0.0540903,17.039,0.125,0.0892,0.089299999,0.1179,0.1058,0.138030893,-0.084572019
0.390146471,13.736,0.0261,0.0717,0.085000001,0.0522,0.0229,-0.23906706,0.575532904
-0.013754457,18.136,0.0749,0.063,0.090800002,0.0968,0.0995,0.03198293,-0.045717276
-0.053817272,15.805,0.1398,0.1226,0.117200002,0.1134,0.1263,-0.01647876,-0.037371654
-0.122347066,15.253,0.248,0.0999,0.128399998,0.1406,0.1798,0.045353168,-0.166774829
0.127525253,20.277,0.1726,0.1578,0.193599999,0.1786,0.1382,-0.040300911,0.16696805
0.384341637,17.513,0.093,0.0824,0.112400003,0.0778,0.0346,-0.181913787,0.52925171
0.642087821,22.633,0.0133,0.1018,0.138799995,0.0991,0.0216,-0.166876822,0.730673309
-0.069031032,13.472,0.0674,0.096,0.103799999,0.0735,0.0844,-0.170896779,0.103081822
0.121167883,20.47,0.0316,0.08,0.093199998,0.0768,0.0602,-0.096470578,0.21512385
-0.108577633,21.21,0.1986,0.1224,0.143000007,0.1642,0.2042,0.069010393,-0.176267258
-0.045130641,21.546,0.0831,0.0682,0.078599997,0.0804,0.088,0.011320775,-0.056422589
0.014996054,19.269,0.0911,0.0984,0.119400002,0.1286,0.1248,0.037096766,-0.022113013
0.11550152,19.408,0.0136,0.054,0.053399999,0.0367,0.0291,-0.1853496,0.294545443
-0.001550388,18.101,0.1187,0.0747,0.101400003,0.0966,0.0969,-0.024242438,0.022692904
0.036453202,17.003,0.0285,0.0655,0.070200004,0.0526,0.0489,-0.143322501,0.178841335
-0.155944416,19.8,0.0777,0.0602,0.070900001,0.082,0.1123,0.072596464,-0.225982529
0.004444444,13.796,0.2049,0.0876,0.1206,0.1356,0.1344,0.058548009,-0.054117647
0.105747126,19.689,0.0246,0.063,0.060800001,0.0481,0.0389,-0.116620761,0.219658985
0.159533074,18.815,0.0145,0.0634,0.065300003,0.0447,0.0324,-0.187272747,0.336745156
-0.092710545,17.127,0.0485,0.0696,0.080499999,0.0641,0.0772,-0.113416316,0.020925804
-0.000455166,14.042,0.1236,0.1023,0.106399998,0.1098,0.1099,0.015726189,-0.016181239
0.043478261,17.437,0.0366,0.0696,0.081799999,0.0648,0.0594,-0.115961794,0.15864022
0.131541726,16.702,0.0162,0.0514,0.0612,0.04,0.0307,-0.209486169,0.331882483
