station_la,station_lo,Date,Turbidity_,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MNDWI,MSK_CLASSI_CIRRUS,MSK_CLASSI_OPAQUE,MSK_CLASSI_SNOW_ICE,MSK_CLDPRB,MSK_SNWPRB,NDSSI,NDTI,NDWI,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP
20.0209934,99.3538415,2025-03-01,11.6,0.0614,0.0432,0.2484,0.1893,0.106,0.12720000743865967,0.1584,0.1555,0.2091,0.2317,0.2129,0.2526,0.232,-0.32268367987488356,0,0,0,0.0,0,-0.14678157823862104,0.10924366858793373,-0.251984682995919,,,0,0.0005,0.0102,0.0131,0.0164,0.1745
20.0209934,99.3538415,2025-04-01,5.08,0.0811,0.0645,0.2612,0.1957,0.112,0.15360000729560852,0.1864,0.1815,0.2267,0.2258,0.2358,0.2613,0.2359,-0.2594020993536531,0,0,0,0.0,0,-0.11700615821885361,0.09647056470758827,-0.2110939680645417,,,0,0.0005,0.0115,0.0156,0.019,0.1721
20.0209934,99.3538415,2025-05-13,98.9,0.0284,0.0657,0.2487,0.1774,0.134,0.1720000058412552,0.1954,0.1921,0.2253,0.2901,0.2248,0.2654,0.2805,-0.1823151725547786,0,0,0,0.0,0,-0.06996668253212758,0.06369078330623484,-0.13306449944929716,,,0,0.0005,0.0134,0.0176,0.0201,0.364
20.0209934,99.3538415,2025-05-27,96.6,0.0236,0.063,0.247,0.1762,0.144,0.2093999981880188,0.2278,0.2181,0.2802,0.3303,0.2467,0.3299,0.3035,-0.08238387809215433,0,0,0,0.0,0,-0.03983140147523709,0.042086006148765454,-0.0817803156328998,,,0,0.0005,0.0146,0.0214,0.0233,0.3972
20.0209934,99.3538415,2025-06-09,39.5,0.0307,0.0581,0.229,0.1725,0.1564,0.19920000433921814,0.2158,0.1966,0.2924,0.3199,0.2536,0.3059,0.2905,-0.06959363698925712,0,0,0,0.0,0,-0.08052833404345974,0.03999998912581488,-0.12014133202178093,,,0,0.0005,0.0159,0.0203,0.022,0.4655
20.0209934,99.3538415,2025-06-23,120.0,0.0269,0.0904,0.2045,0.1628,0.1278,0.1462000012397766,0.1534,0.1673,0.2401,0.2895,0.2216,0.3015,0.2786,-0.16623894654726037,0,0,0,0.0,0,-0.18186666666666662,0.024032038486078232,-0.20500271480713922,,,0,0.0005,0.013,0.0149,0.0156,0.4709
20.0209934,99.3538415,2025-07-01,97.5,0.0146,0.1221,0.253,0.1846,0.158,0.19380000233650208,0.2082,0.2246,0.2998,0.3214,0.2824,0.3387,0.3255,-0.13249775593983135,0,0,0,0.0033,0,-0.15124337545862207,0.03582088950199587,-0.1860562730549707,,,0,0.0008,0.0161,0.0197,0.0212,0.4609
20.0209934,99.3538415,2025-07-21,294.0,0.0146,0.1221,0.253,0.1846,0.158,0.19380000233650208,0.2082,0.2246,0.2998,0.3214,0.2824,0.3387,0.3255,-0.13249775593983135,0,0,0,0.0033,0,-0.15124337545862207,0.03582088950199587,-0.1860562730549707,,,0,0.0008,0.0161,0.0197,0.0212,0.4609
20.0209934,99.3538415,2025-08-18,135.0,0.0325,0.0568,0.1938,0.1464,0.1332,0.16339999437332153,0.1804,0.1824,0.2278,0.2842,0.2286,0.2624,0.2057,-0.08510640007151404,0,0,0,0.0,0,-0.11784841075794618,0.049447370287675756,-0.16632654735342975,,,0,0.0005,0.0136,0.0168,0.0185,0.449
20.0209934,99.3538415,2025-09-01,137.0,0.0325,0.0568,0.1938,0.1464,0.1332,0.16339999437332153,0.1804,0.1824,0.2278,0.2842,0.2286,0.2624,0.2057,-0.08510640007151404,0,0,0,0.0,0,-0.11784841075794618,0.049447370287675756,-0.16632654735342975,,,0,0.0005,0.0136,0.0168,0.0185,0.449
