OBJECTID,Number,Name,Code,Streamflow,Province,Region,Surface_Wa,Date,Year,Quarter,Time,Salinity_p,Lastest_WQ,Average_WQ,Quality_St,BOD_ppm,COD_ppm,EC_microS_,NH4_N_ppm,pH,Temp_Celsi,Turbidity_,station_la,station_lo,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MNDWI,MSK_CLASSI_CIRRUS,MSK_CLASSI_OPAQUE,MSK_CLASSI_SNOW_ICE,MSK_CLDPRB,MSK_SNWPRB,NDSSI,NDTI,NDWI,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP
3,48,SO03,SO03,2.75,Sakon Nakhon,Northeastern,Songkhram River,2/6/2024,2024,Q1,0:17:56,0.8,90.57576,90.57576,High,1.2, ,1683,0,7.74,30.1,0,17.778496,103.953076,0.027,0.0534,0.101,0.0761,0.0684,0.091399997,0.0896,0.0871,0.0874,0.098,0.1001,0.0971,0.1603,-0.049896064,,,,0,0,-0.055350554,-0.009944738,-0.045430823,0,0,0,0.0006,0.0073,0.0093,0.0091,0.2034
6,90,SO02,SO02,1.5,Nakhon Phanom,Northeastern,Songkhram River,2/6/2024,2024,Q1,0:17:56,0.3,80.52648,80.52648,Good,1.2, ,721,0.1,7.95,29.7,0,17.634672,104.244929,0.0229,0.0369,0.0477,0.042,0.0457,0.067599997,0.0373,0.049,0.0367,0.0224,0.0104,0.0331,0.0375,0.172593213,,,,0,0,0.5639413,-0.2888465,0.733333323,0,0,0,0.0006,0.0051,0.0068,0.0036,0.3035
7,101,SO05,SO05,2.53,Bueng Kan,Northeastern,Songkhram River,2/6/2024,2024,Q1,0:17:56,0.1,91.64876,91.64876,High,1.3, ,350,0,7.71,28.9,0,18.005534,103.472361,0.0187,0.0574,0.2467,0.203,0.1578,0.179800004,0.2004,0.2179,0.2326,0.2348,0.2294,0.2547,0.2752,-0.156858137,,,,0,0,-0.067473243,0.054181999,-0.121212111,0,0,0,0.0005,0.0157,0.0183,0.0205,0.1948
8,120,ON01,ON01,1.2,Nakhon Phanom,Northeastern,Nam Un River,2/4/2024,2024,Q1,0:17:56,0.1,92.37378,92.37378,High,0.7, ,330,0,7.87,28.4,3.9,17.62317,104.23907,0.0229,0.036,0.1016,0.093,0.0574,0.0788,0.0648,0.0791,0.0789,0.075,0.0584,0.0825,0.1807,-0.126385808,,,,0,0,0.051948052,-0.097493038,0.148688048,0,0,0,0.0005,0.0059,0.0081,0.0066,0.1928
10,245,NK05,NK05,1.5,Nakhon Phanom,Northeastern,Mekong River,2/6/2024,2024,Q1,0:17:56,0,71.59524,71.59524,Good,1.2, ,262,0,7.99,28,0,17.352444,104.801084,0.0229,0.0761,0.0357,0.0236,0.0855,0.091700003,0.068,0.0645,0.0553,0.0573,0.0529,0.0459,0.0545,0.439560451,,,,0,0,0.124896609,-0.14840327,0.268326431,0,0,0,0.0005,0.0086,0.0093,0.007,0.3035
11,270,SO04,SO04,2.53,Bueng Kan,Northeastern,Songkhram River,2/6/2024,2024,Q1,0:17:56,0.9,91.8537,91.8537,High,1.4, ,1837,0,7.91,28.7,0,17.865533,103.774347,0.0258,0.0502,0.1471,0.1272,0.0682,0.0836,0.0937,0.106,0.1142,0.1089,0.0987,0.1136,0.1741,-0.275249244,,,,0,0,-0.025987526,0.056965598,-0.082830502,0,0,0,0.0005,0.0071,0.0085,0.0096,0.1742
12,284,SO01,SO01,1.5,Nakhon Phanom,Northeastern,Songkhram River,2/6/2024,2024,Q1,0:17:56,0,88.35378,88.35378,Good,1.3, ,259,0,8.47,28.5,1.5,17.643401,104.461549,0.0229,0.0517,0.0218,0.0173,0.0636,0.072999999,0.0432,0.0438,0.0315,0.0331,0.0329,0.0317,0.0941,0.540084383,,,,0,0,0.135348226,-0.256454382,0.378659106,0,0,0,0.0006,0.0064,0.0073,0.0042,0.3035
18,580,NK06,NK06,1.9,Bueng Kan,Northeastern,Mekong River,2/14/2024,2024,Q1,0:17:56,0,82.30982,82.30982,Good,1.3, ,283,0.1,8.34,26.9,0,18.339121,103.701735,0.0188,0.0606,0.0675,0.0448,0.0536,0.082199998,0.0587,0.0692,0.058,0.0638,0.0316,0.0646,0.061,0.098196382,,,,0,0,0.300110742,-0.166784943,0.44463971,0,0,0,0.0006,0.0054,0.0084,0.0059,0.1705
26,120,ON01,ON01,,Nakhon Phanom,Northeastern,Nam Un River,5/26/2024,2024,Q2,0:17:56,0,84.63436,84.63436,Good,1.4, ,279,0.1,7.74,30.7,6.1,17.62317,104.23907,0.0176,0.0696,0.1247,0.1016,0.0985,0.130199999,0.1294,0.1382,0.1077,0.1296,0.1064,0.1311,0.2559,0.021577084,0,0,0,0,0,0.097540288,-0.003081659,0.100591711,,,0,0.0005,0.0101,0.0132,0.0131,0.3618
42,90,SO02,SO02,,Nakhon Phanom,Northeastern,Songkhram River,8/21/2024,2024,Q3,0:17:56,0,80.15764,80.15764,Good,1.2, ,98.3,0,8.31,30.5,0,17.634672,104.244929,0.0369,0.1401,0.1153,0.0832,0.1624,0.169400007,0.1414,0.1532,0.1378,0.1345,0.1746,0.1352,0.4449,0.190024606,0,0,0,0,0,-0.105063291,-0.090090109,-0.01511626,,,0,0.0006,0.0165,0.0172,0.0143,0.3946
