OBJECTID,Number,Name,Code,Province,Region,Surface_Wa,Date,Turbidity_,Year,Quarter,Time,Salinity_p,Lastest_WQ,Average_WQ,Quality_St,BOD_ppm,COD_ppm,EC_microS_,NH4_N_ppm,pH,Temp_Celsi,station_la,station_lo,B2,B3,B4,B8,B11,NDWI,MNDWI,NDTI,NDSSI
9,339,MU01,MU01,Ubon Ratchathani,Northeastern,Mun River,2/20/2024,2.9,2024,Q1,0:17:56,0.0,74.9875,74.9875,Good,0.8, ,252.0,0.25,8.0,31.5,15.314934,105.503058,0.0768,0.0753,0.0537,0.039,0.0211,0.31758530183727035,0.5622406639004149,-0.16744186046511633,-0.15857605177993525
10,358,MU04,MU04,Ubon Ratchathani,Northeastern,Mun River,2/20/2024,3.6,2024,Q1,0:17:56,0.0,73.861848,73.861848,Good,0.6, ,297.0,0.39,8.3,33.2,15.249888,105.239367,0.0763,0.0924,0.0734,0.0726,0.0531,0.12000000000000001,0.27010309278350514,-0.11459589867310005,-0.005479452054794582
1,9,MU07,MU07,Ubon Ratchathani,Northeastern,Mun River,2/19/2024,5.0,2024,Q1,0:17:56,0.1,74.63568,74.63568,Good,0.7, ,317.0,0.25,8.0,33.7,15.206093,104.813639,0.0905,0.0996,0.1176,0.1074,0.1143,-0.037681159420289864,-0.06872370266479666,0.08287292817679559,-0.045333333333333344
4,202,NK01,NK01,Ubon Ratchathani,Northeastern,Mekong River,2/13/2024,5.5,2024,Q1,0:17:56,0.1,64.879176,64.879176,Moderate,2.1, ,467.0,0.33,7.5,28.0,15.320425,105.557412,0.0696,0.0805,0.0641,0.0772,0.0485,0.020925808497146463,0.24806201550387597,-0.11341632088520054,0.0927105449398443
9,339,MU01,MU01,Ubon Ratchathani,Northeastern,Mun River,2/11/2025,6.5,2025,Q1,0:17:56,0.0,71.360976,71.360976,Good,0.7, ,65.0,0.28,7.1,28.6,15.314934,105.503058,0.0458,0.0538,0.0322,0.0174,0.0119,0.5112359550561798,0.6377473363774733,-0.25116279069767444,-0.29838709677419356
8,285,MU02,MU02,Ubon Ratchathani,Northeastern,Mun River,2/11/2025,7.0,2025,Q1,0:17:56,0.0,84.80164,84.80164,Good,0.9, ,76.0,0.22,7.3,29.1,15.288511,105.467409,0.0429,0.0477,0.03,0.0219,0.0198,0.3706896551724138,0.4133333333333333,-0.22779922779922784,-0.1560693641618497
6,236,NK02,NK02,Ubon Ratchathani,Northeastern,Mekong River,2/5/2025,7.4,2025,Q1,0:17:56,0.1,85.11408,85.11408,Good,0.8, ,404.0,0.16,8.4,27.6,16.036174,105.290887,0.0966,0.1182,0.1316,0.1484,0.2065,-0.113278319579895,-0.27194333230674467,0.053642914331465154,0.060000000000000026
16,546,LD3,LD3,Ubon Ratchathani,Northeastern,Lam Dom Yai,2/6/2025,7.5,2025,Q1,0:17:56,0.1,86.851,86.851,Good,0.5, ,370.0,0.22,8.1,28.6,14.492911,105.135185,0.0602,0.0709,0.082,0.1123,0.0777,-0.22598253275109165,-0.04576043068640646,0.0725964682799215,0.15594441585177557
10,358,MU04,MU04,Ubon Ratchathani,Northeastern,Mun River,2/11/2025,7.6,2025,Q1,0:17:56,0.1,64.427416,64.427416,Moderate,1.7, ,371.0,0.28,8.2,28.4,15.249888,105.239367,0.0572,0.0653,0.0606,0.0536,0.0325,0.09840201850294361,0.33537832310838445,-0.037331215250198536,-0.06129597197898423
1,9,MU07,MU07,Ubon Ratchathani,Northeastern,Mun River,2/10/2025,7.7,2025,Q1,0:17:56,0.1,80.59858,80.59858,Good,0.2, ,396.0,0.22,8.3,30.2,15.206093,104.813639,0.0957,0.109,0.1108,0.1013,0.1214,0.036614360437470274,-0.05381944444444442,0.008189262966333013,-0.04479019330504476
